Date,Price,Open,High,Low,Vol.,Change %
01/08/2019,1409.78,1417.35,1449.61,1403.17,556.77M,-0.01
31/07/2019,1417.35,1438.48,1448.28,1402.9,601.83M,-0.01
30/07/2019,1438.48,1448.58,1448.58,1435.47,339.38M,-0.01
29/07/2019,1448.58,1449.31,1451.04,1437.37,340.82M,0
26/07/2019,1449.31,1441.26,1452.4,1441.26,323.64M,0.01
25/07/2019,1441.26,1452.75,1452.75,1438.81,341.51M,-0.01
24/07/2019,1452.75,1440.39,1452.77,1439.84,354.72M,0.01
23/07/2019,1440.39,1432.44,1440.44,1429.67,305.76M,0.01
22/07/2019,1432.44,1415.14,1435.63,1415.14,341.05M,0.01
19/07/2019,1415.14,1423.02,1435.35,1414.82,378.51M,-0.01
18/07/2019,1423.02,1411.65,1424.27,1408.21,339.29M,0.01
17/07/2019,1411.65,1415.8,1421.05,1411.46,284.11M,0
16/07/2019,1415.8,1428.79,1428.79,1412.97,328.89M,-0.01
15/07/2019,1428.79,1424.52,1430.49,1424.52,328.97M,0
12/07/2019,1424.52,1413.28,1424.8,1413.28,322.92M,0.01
11/07/2019,1413.28,1408.51,1418.96,1408.51,351.76M,0
10/07/2019,1408.51,1397.3,1416.42,1397.3,373.78M,0.01
09/07/2019,1397.3,1392.92,1398.24,1384.75,345.16M,0
08/07/2019,1392.92,1403.17,1403.17,1386.14,332.82M,-0.01
05/07/2019,1403.17,1405.88,1405.88,1389.5,265.53M,0
03/07/2019,1405.88,1396.41,1405.9,1395.9,243.42M,0.01
02/07/2019,1396.41,1392.41,1396.47,1388.19,324.96M,0
01/07/2019,1392.41,1372.56,1403.19,1372.56,455.50M,0.01
28/06/2019,1372.56,1370.6,1376.06,1365.99,640.79M,0
27/06/2019,1370.6,1366.8,1375.1,1366.8,365.05M,0
26/06/2019,1366.8,1352.02,1376.07,1352.02,460.62M,0.01
25/06/2019,1352.02,1377.33,1378.18,1350.71,379.60M,-0.02
24/06/2019,1377.33,1375.25,1382.07,1375.25,333.89M,0
21/06/2019,1375.25,1381.59,1386.77,1374.7,628.00M,0
20/06/2019,1381.59,1362.09,1386.09,1362.09,433.02M,0.01
19/06/2019,1362.09,1356.19,1365.22,1351.85,382.54M,0
18/06/2019,1356.19,1333.28,1363.45,1333.28,454.42M,0.02
17/06/2019,1333.28,1331.07,1339.08,1329.89,331.96M,0
14/06/2019,1331.07,1342.19,1342.19,1325.99,-,-0.01
13/06/2019,1342.19,1339.26,1347.85,1338.38,-,0
12/06/2019,1339.26,1347.03,1347.03,1336.4,-,-0.01
11/06/2019,1347.03,1346.78,1361.94,1339.46,-,0
10/06/2019,1346.78,1333.69,1359.76,1333.69,-,0.01
07/06/2019,1333.69,1308.5,1341.21,1308.5,-,0.02
06/06/2019,1308.5,1294.44,1311.53,1291.41,-,0.01
05/06/2019,1294.44,1276.85,1297.04,1276.85,-,0.01
04/06/2019,1276.85,1236.49,1277.32,1236.49,-,0.03
03/06/2019,1236.49,1258.6,1266.94,1227.88,-,-0.02
31/05/2019,1258.6,1279.09,1279.09,1257.83,-,-0.02
30/05/2019,1279.09,1271.44,1282,1270.94,-,0.01
29/05/2019,1271.44,1279.08,1279.08,1263.45,-,-0.01
28/05/2019,1279.08,1283.32,1295.39,1278.55,-,0
24/05/2019,1283.32,1282.69,1296.38,1281.9,-,0
23/05/2019,1282.69,1305.25,1305.25,1273.39,-,-0.02
22/05/2019,1305.25,1312.69,1312.92,1303.78,-,-0.01
21/05/2019,1312.69,1297.15,1316.76,1297.15,-,0.01
20/05/2019,1297.15,1320.19,1320.19,1290.38,-,-0.02
17/05/2019,1320.19,1331.12,1337.53,1318.02,-,-0.01
16/05/2019,1331.12,1318.1,1340.02,1317.65,-,0.01
15/05/2019,1318.1,1305.26,1322.37,1294.56,-,0.01
14/05/2019,1305.26,1284.72,1313.19,1284.72,-,0.02
13/05/2019,1284.72,1334.23,1334.23,1280.91,-,-0.04
10/05/2019,1334.23,1331.85,1340.81,1303.28,-,0
09/05/2019,1331.85,1340.96,1340.96,1309.24,-,-0.01
08/05/2019,1340.96,1343.21,1352.2,1336.09,-,0
07/05/2019,1343.21,1372.25,1372.25,1330.64,-,-0.02
06/05/2019,1372.25,1383.55,1383.55,1346.14,-,-0.01
03/05/2019,1383.55,1370.58,1384.25,1370.58,-,0.01
02/05/2019,1370.58,1378.01,1387.09,1363.39,-,-0.01
01/05/2019,1378.01,1381.76,1398.51,1377.92,-,0
30/04/2019,1381.76,1378.82,1383.02,1370.67,-,0
29/04/2019,1378.82,1378.9,1383.08,1377.35,-,0
26/04/2019,1378.9,1383.78,1383.78,1364.22,-,0
25/04/2019,1383.78,1383.8,1394.44,1376.65,-,0
24/04/2019,1383.8,1383.91,1390.45,1382.19,-,0
23/04/2019,1383.91,1368.48,1385.11,1368.48,-,0.01
22/04/2019,1368.48,1365.38,1368.99,1358.07,-,0
18/04/2019,1365.38,1361.53,1365.74,1355.44,-,0
17/04/2019,1361.53,1353.67,1363.16,1353.67,-,0.01
16/04/2019,1353.67,1347.12,1355.36,1347.12,-,0
15/04/2019,1347.12,1347.62,1350.79,1340.09,-,0
12/04/2019,1347.62,1338.34,1347.66,1338.34,-,0.01
11/04/2019,1338.34,1340,1342.5,1335.7,-,0
10/04/2019,1340,1330.64,1340.3,1330.64,-,0.01
09/04/2019,1330.64,1337.63,1337.63,1328.3,-,-0.01
08/04/2019,1337.63,1332.22,1337.8,1323.68,-,0
05/04/2019,1332.22,1326.56,1333.5,1326.56,-,0
04/04/2019,1326.56,1332.39,1334.59,1318.29,-,0
03/04/2019,1332.39,1321.39,1338.82,1321.39,-,0.01
02/04/2019,1321.39,1317.4,1323.19,1314.02,-,0
01/04/2019,1317.4,1299.16,1318.33,1299.16,-,0.01
29/03/2019,1299.16,1286.59,1299.4,1286.59,-,0.01
28/03/2019,1286.59,1281.78,1291.69,1278.71,-,0
27/03/2019,1281.78,1288.82,1295.17,1270.09,-,-0.01
26/03/2019,1288.82,1281.66,1300.88,1281.54,-,0.01
25/03/2019,1281.66,1286.77,1290.02,1273.47,-,0
22/03/2019,1286.77,1317.68,1317.68,1286.73,-,-0.02
21/03/2019,1317.68,1285.9,1321.11,1285.9,-,0.02
20/03/2019,1285.9,1289.45,1296.42,1278.36,-,0
